selector,month,symbol,source_sessions
repaired,2024-11,COST,20
repaired,2024-11,GOOG,20
repaired,2024-11,MU,20
repaired,2024-11,NVDA,20
repaired,2024-12,AAPL,21
repaired,2024-12,AMZN,21
repaired,2024-12,COST,21
repaired,2024-12,GOOG,21
repaired,2024-12,MU,21
repaired,2024-12,NVDA,21
repaired,2025-01,AAPL,20
repaired,2025-01,AMZN,20
repaired,2025-01,COST,20
repaired,2025-01,GOOG,20
repaired,2025-01,MU,20
repaired,2025-01,NVDA,20
repaired,2025-02,AAPL,19
repaired,2025-02,AMZN,19
repaired,2025-02,COST,19
repaired,2025-02,GOOG,19
repaired,2025-02,MU,19
repaired,2025-02,NVDA,19
repaired,2025-03,AAPL,21
repaired,2025-03,AMZN,21
repaired,2025-03,COST,21
repaired,2025-03,GOOG,21
repaired,2025-03,MU,21
repaired,2025-03,NVDA,21
repaired,2025-03,SNDK,19
repaired,2025-04,AAPL,21
repaired,2025-04,AMZN,21
repaired,2025-04,COST,21
repaired,2025-04,GOOG,21
repaired,2025-04,MU,21
repaired,2025-04,NVDA,21
repaired,2025-04,SNDK,21
repaired,2025-05,AAPL,21
repaired,2025-05,AMZN,21
repaired,2025-05,COST,21
repaired,2025-05,GOOG,21
repaired,2025-05,MU,21
repaired,2025-05,NVDA,21
repaired,2025-05,SNDK,21
repaired,2025-06,AAPL,20
repaired,2025-06,AMZN,20
repaired,2025-06,COST,20
repaired,2025-06,GOOG,20
repaired,2025-06,MU,20
repaired,2025-06,NVDA,20
repaired,2025-06,SNDK,20
repaired,2025-07,AAPL,22
repaired,2025-07,AMZN,22
repaired,2025-07,COST,22
repaired,2025-07,GOOG,22
repaired,2025-07,MU,22
repaired,2025-07,NVDA,22
repaired,2025-07,SNDK,22
repaired,2025-08,AAPL,21
repaired,2025-08,AMZN,21
repaired,2025-08,COST,21
repaired,2025-08,GOOG,21
repaired,2025-08,MU,21
repaired,2025-08,NVDA,21
repaired,2025-08,SNDK,21
repaired,2025-09,AAPL,21
repaired,2025-09,AMZN,21
repaired,2025-09,COST,21
repaired,2025-09,GOOG,21
repaired,2025-09,MU,21
repaired,2025-09,NVDA,21
repaired,2025-09,SNDK,21
repaired,2025-10,AAPL,23
repaired,2025-10,AMZN,23
repaired,2025-10,COST,23
repaired,2025-10,GOOG,23
repaired,2025-10,MU,23
repaired,2025-10,NVDA,23
repaired,2025-10,SNDK,23
repaired,2025-11,AAPL,19
repaired,2025-11,AMZN,19
repaired,2025-11,COST,19
repaired,2025-11,GOOG,19
repaired,2025-11,MU,19
repaired,2025-11,NVDA,19
repaired,2025-11,SNDK,19
repaired,2025-12,AAPL,22
repaired,2025-12,AMZN,22
repaired,2025-12,COST,22
repaired,2025-12,GOOG,22
repaired,2025-12,MU,22
repaired,2025-12,NVDA,22
repaired,2025-12,SNDK,22
repaired,2026-01,AAPL,20
repaired,2026-01,AMZN,20
repaired,2026-01,COST,20
repaired,2026-01,GOOG,20
repaired,2026-01,MU,20
repaired,2026-01,NVDA,20
repaired,2026-01,SNDK,20
repaired,2026-02,AAPL,19
repaired,2026-02,AMZN,19
repaired,2026-02,COST,19
repaired,2026-02,GOOG,19
repaired,2026-02,MU,19
repaired,2026-02,NVDA,19
repaired,2026-02,SNDK,19
repaired,2026-03,AAPL,22
repaired,2026-03,AMZN,22
repaired,2026-03,COST,22
repaired,2026-03,GOOG,22
repaired,2026-03,MU,22
repaired,2026-03,NVDA,22
repaired,2026-03,SNDK,22
repaired,2026-04,AAPL,21
repaired,2026-04,AMZN,21
repaired,2026-04,COST,21
repaired,2026-04,GOOG,21
repaired,2026-04,MU,21
repaired,2026-04,NVDA,21
repaired,2026-04,SNDK,21
repaired,2026-05,AAPL,20
repaired,2026-05,AMZN,20
repaired,2026-05,COST,20
repaired,2026-05,GOOG,20
repaired,2026-05,MU,20
repaired,2026-05,NVDA,20
repaired,2026-05,SNDK,20
repaired,2026-06,AAPL,21
repaired,2026-06,AMZN,21
repaired,2026-06,COST,21
repaired,2026-06,GOOG,21
repaired,2026-06,MU,21
repaired,2026-06,NVDA,21
repaired,2026-06,SNDK,21
repaired,2026-07,AAPL,22
repaired,2026-07,AMZN,22
repaired,2026-07,COST,22
repaired,2026-07,GOOG,22
repaired,2026-07,MU,22
repaired,2026-07,NVDA,22
repaired,2026-07,SNDK,22
repaired,2026-08,AAPL,21
repaired,2026-08,AMZN,21
repaired,2026-08,COST,21
repaired,2026-08,GOOG,21
repaired,2026-08,MU,21
repaired,2026-08,NVDA,21
repaired,2026-08,SNDK,21
repaired,2026-09,AAPL,9
repaired,2026-09,AMZN,9
repaired,2026-09,COST,9
repaired,2026-09,GOOG,9
repaired,2026-09,MU,9
repaired,2026-09,NVDA,9
repaired,2026-09,SNDK,9
